id,name,strength_subjects,specialization_colleges,experience_level,teaching_style
1300,Mentor_300,"Legal Reasoning, Current Affairs","NLU Jodhpur, NLSIU",Beginner,Kinesthetic
1301,Mentor_301,"Quantitative Techniques, Legal Reasoning, English",NUJS,Intermediate,Visual
1302,Mentor_302,"Quantitative Techniques, Legal Reasoning",NLSIU,Advanced,Auditory
1303,Mentor_303,"Current Affairs, Quantitative Techniques, English","NLSIU, NUJS",Advanced,Visual
1304,Mentor_304,"Legal Reasoning, English, Current Affairs","NLSIU, NLU Jodhpur",Intermediate,Visual
1305,Mentor_305,"Current Affairs, English",NALSAR,Beginner,Kinesthetic
1306,Mentor_306,"Logical Reasoning, Current Affairs","NLU Delhi, NALSAR",Beginner,Kinesthetic
1307,Mentor_307,Quantitative Techniques,NLU Jodhpur,Beginner,Kinesthetic
1308,Mentor_308,Quantitative Techniques,NLU Delhi,Intermediate,Kinesthetic
1309,Mentor_309,"English, Legal Reasoning, Current Affairs",NLU Jodhpur,Beginner,Kinesthetic
1310,Mentor_310,Quantitative Techniques,NLU Delhi,Beginner,Kinesthetic
1311,Mentor_311,Current Affairs,"NALSAR, GNLU",Advanced,Visual
1312,Mentor_312,"Quantitative Techniques, Logical Reasoning, Current Affairs","NALSAR, NLU Jodhpur",Advanced,Auditory
1313,Mentor_313,Legal Reasoning,"GNLU, NALSAR",Intermediate,Kinesthetic
1314,Mentor_314,"Current Affairs, Logical Reasoning, English","GNLU, NUJS",Intermediate,Kinesthetic
1315,Mentor_315,"Current Affairs, Quantitative Techniques","NLSIU, NLU Delhi",Beginner,Visual
1316,Mentor_316,"English, Logical Reasoning, Current Affairs",NLU Delhi,Intermediate,Auditory
1317,Mentor_317,"Current Affairs, Logical Reasoning, Quantitative Techniques",NALSAR,Beginner,Kinesthetic
1318,Mentor_318,"Quantitative Techniques, Legal Reasoning, Logical Reasoning",NLU Jodhpur,Advanced,Kinesthetic
1319,Mentor_319,Legal Reasoning,"NLU Delhi, NALSAR",Advanced,Kinesthetic
1320,Mentor_320,"Legal Reasoning, English, Current Affairs","GNLU, NLU Delhi",Advanced,Kinesthetic
1321,Mentor_321,Quantitative Techniques,"NLU Jodhpur, NLU Delhi",Beginner,Visual
1322,Mentor_322,"Logical Reasoning, English, Current Affairs",NLSIU,Advanced,Visual
1323,Mentor_323,"Current Affairs, Legal Reasoning, Quantitative Techniques","NALSAR, NLU Delhi",Advanced,Visual
1324,Mentor_324,Logical Reasoning,"NUJS, GNLU",Beginner,Kinesthetic
1325,Mentor_325,"Logical Reasoning, Quantitative Techniques",GNLU,Beginner,Kinesthetic
1326,Mentor_326,"Quantitative Techniques, Legal Reasoning","NLU Delhi, NLSIU",Intermediate,Kinesthetic
1327,Mentor_327,"Quantitative Techniques, Legal Reasoning","NLU Jodhpur, NUJS",Intermediate,Visual
1328,Mentor_328,"Current Affairs, Legal Reasoning",NLU Delhi,Intermediate,Kinesthetic
1329,Mentor_329,"Legal Reasoning, Logical Reasoning, Quantitative Techniques",NALSAR,Intermediate,Auditory
1330,Mentor_330,Current Affairs,"NALSAR, NLSIU",Intermediate,Kinesthetic
1331,Mentor_331,"Quantitative Techniques, Legal Reasoning, English","NLU Jodhpur, NALSAR",Beginner,Visual
1332,Mentor_332,"Logical Reasoning, Quantitative Techniques","NLU Delhi, NUJS",Beginner,Auditory
1333,Mentor_333,"Legal Reasoning, Logical Reasoning, Current Affairs","GNLU, NLU Jodhpur",Intermediate,Kinesthetic
1334,Mentor_334,"Current Affairs, Legal Reasoning, English","NLU Jodhpur, NLSIU",Intermediate,Auditory
1335,Mentor_335,Legal Reasoning,"NALSAR, GNLU",Advanced,Kinesthetic
1336,Mentor_336,"Quantitative Techniques, Legal Reasoning, Logical Reasoning","NLU Delhi, NALSAR",Beginner,Visual
1337,Mentor_337,"English, Legal Reasoning, Logical Reasoning",NLSIU,Beginner,Auditory
1338,Mentor_338,Current Affairs,NLU Delhi,Intermediate,Visual
1339,Mentor_339,"Legal Reasoning, Logical Reasoning, Quantitative Techniques",GNLU,Advanced,Visual
1340,Mentor_340,"Legal Reasoning, Logical Reasoning","NALSAR, GNLU",Beginner,Kinesthetic
1341,Mentor_341,"Current Affairs, Logical Reasoning","NLSIU, NUJS",Intermediate,Auditory
1342,Mentor_342,"Current Affairs, Logical Reasoning, Quantitative Techniques","NALSAR, NUJS",Advanced,Kinesthetic
1343,Mentor_343,"Quantitative Techniques, Logical Reasoning, English","NLU Delhi, GNLU",Intermediate,Visual
1344,Mentor_344,"Logical Reasoning, English","NUJS, NLU Delhi",Advanced,Kinesthetic
1345,Mentor_345,Legal Reasoning,"NLSIU, NLU Delhi",Intermediate,Auditory
1346,Mentor_346,"Legal Reasoning, Quantitative Techniques, Logical Reasoning","NLSIU, NALSAR",Intermediate,Auditory
1347,Mentor_347,Legal Reasoning,"NLU Jodhpur, NUJS",Intermediate,Auditory
1348,Mentor_348,"Logical Reasoning, Current Affairs, Legal Reasoning",NLSIU,Advanced,Auditory
1349,Mentor_349,"Logical Reasoning, Legal Reasoning","NLU Delhi, NUJS",Beginner,Auditory
1350,Mentor_350,"English, Legal Reasoning","NLU Delhi, NALSAR",Beginner,Auditory
1351,Mentor_351,"English, Legal Reasoning","NLU Jodhpur, NLU Delhi",Beginner,Auditory
1352,Mentor_352,Legal Reasoning,NUJS,Beginner,Visual
1353,Mentor_353,Current Affairs,"NLU Delhi, NLSIU",Intermediate,Visual
1354,Mentor_354,English,"NALSAR, GNLU",Beginner,Visual
1355,Mentor_355,"Current Affairs, Logical Reasoning",NUJS,Beginner,Visual
1356,Mentor_356,"Current Affairs, Legal Reasoning, English",NALSAR,Beginner,Auditory
1357,Mentor_357,Current Affairs,"GNLU, NUJS",Advanced,Kinesthetic
1358,Mentor_358,"Legal Reasoning, English","NLU Jodhpur, GNLU",Beginner,Visual
1359,Mentor_359,"Quantitative Techniques, Logical Reasoning, Current Affairs","NLU Jodhpur, NUJS",Beginner,Visual
1360,Mentor_360,Legal Reasoning,NALSAR,Beginner,Kinesthetic
1361,Mentor_361,"Legal Reasoning, Logical Reasoning, Quantitative Techniques",GNLU,Intermediate,Auditory
1362,Mentor_362,Logical Reasoning,NALSAR,Intermediate,Visual
1363,Mentor_363,"English, Quantitative Techniques",NLU Jodhpur,Advanced,Visual
1364,Mentor_364,"Quantitative Techniques, Legal Reasoning",NALSAR,Intermediate,Kinesthetic
1365,Mentor_365,"Logical Reasoning, English","NLSIU, GNLU",Intermediate,Kinesthetic
1366,Mentor_366,"English, Current Affairs, Quantitative Techniques",NLU Jodhpur,Intermediate,Auditory
1367,Mentor_367,"Legal Reasoning, Quantitative Techniques",NLU Delhi,Beginner,Kinesthetic
1368,Mentor_368,"English, Legal Reasoning, Current Affairs","NLU Delhi, NLU Jodhpur",Beginner,Auditory
1369,Mentor_369,"Quantitative Techniques, English, Current Affairs",NALSAR,Beginner,Visual
1370,Mentor_370,Quantitative Techniques,GNLU,Beginner,Visual
1371,Mentor_371,"English, Legal Reasoning","GNLU, NLSIU",Beginner,Visual
1372,Mentor_372,Logical Reasoning,"NLSIU, NLU Delhi",Advanced,Visual
1373,Mentor_373,Current Affairs,NUJS,Intermediate,Auditory
1374,Mentor_374,"Quantitative Techniques, Current Affairs, English","NLU Delhi, NLSIU",Intermediate,Auditory
1375,Mentor_375,Current Affairs,"NALSAR, NUJS",Beginner,Kinesthetic
1376,Mentor_376,"Logical Reasoning, Legal Reasoning, Quantitative Techniques","NALSAR, NLSIU",Advanced,Kinesthetic
1377,Mentor_377,"Current Affairs, English, Logical Reasoning",NUJS,Advanced,Visual
1378,Mentor_378,"English, Current Affairs",NALSAR,Advanced,Visual
1379,Mentor_379,"Current Affairs, Legal Reasoning, Logical Reasoning",NUJS,Intermediate,Kinesthetic
1380,Mentor_380,"Current Affairs, Logical Reasoning, Quantitative Techniques","NLU Jodhpur, NLSIU",Intermediate,Kinesthetic
1381,Mentor_381,"Logical Reasoning, English",NLU Jodhpur,Intermediate,Auditory
1382,Mentor_382,Logical Reasoning,NUJS,Advanced,Auditory
1383,Mentor_383,"Current Affairs, Logical Reasoning, Legal Reasoning","NUJS, NLU Delhi",Advanced,Visual
1384,Mentor_384,"Logical Reasoning, English",GNLU,Intermediate,Kinesthetic
1385,Mentor_385,Quantitative Techniques,NALSAR,Intermediate,Visual
1386,Mentor_386,Logical Reasoning,NALSAR,Intermediate,Visual
1387,Mentor_387,"Logical Reasoning, Current Affairs",NUJS,Advanced,Auditory
1388,Mentor_388,"Logical Reasoning, Current Affairs, English","NLU Delhi, NLU Jodhpur",Beginner,Kinesthetic
1389,Mentor_389,"Legal Reasoning, English","NALSAR, NLU Delhi",Beginner,Visual
1390,Mentor_390,Current Affairs,NLU Jodhpur,Intermediate,Auditory
1391,Mentor_391,"Legal Reasoning, Current Affairs",GNLU,Intermediate,Kinesthetic
1392,Mentor_392,"Logical Reasoning, English, Legal Reasoning",NLSIU,Beginner,Auditory
1393,Mentor_393,"Legal Reasoning, Logical Reasoning, Current Affairs","NLU Delhi, NLU Jodhpur",Advanced,Auditory
1394,Mentor_394,English,"NUJS, NLU Delhi",Intermediate,Auditory
1395,Mentor_395,Legal Reasoning,GNLU,Advanced,Visual
1396,Mentor_396,"English, Logical Reasoning, Current Affairs",NLU Jodhpur,Beginner,Kinesthetic
1397,Mentor_397,Logical Reasoning,"NLSIU, NALSAR",Beginner,Visual
1398,Mentor_398,"Logical Reasoning, Current Affairs","NLU Delhi, NLSIU",Advanced,Kinesthetic
1399,Mentor_399,Legal Reasoning,NUJS,Intermediate,Kinesthetic
1400,Mentor_400,Logical Reasoning,NLSIU,Advanced,Visual
1401,Mentor_401,"Quantitative Techniques, Logical Reasoning, Legal Reasoning",NLU Delhi,Intermediate,Auditory
1402,Mentor_402,Logical Reasoning,NLU Jodhpur,Intermediate,Visual
1403,Mentor_403,"Quantitative Techniques, Current Affairs","NLU Delhi, NLU Jodhpur",Intermediate,Kinesthetic
1404,Mentor_404,"Current Affairs, English",NUJS,Advanced,Kinesthetic
1405,Mentor_405,Quantitative Techniques,"NLU Delhi, NALSAR",Advanced,Visual
1406,Mentor_406,Legal Reasoning,GNLU,Advanced,Visual
1407,Mentor_407,"Logical Reasoning, English, Legal Reasoning","NLU Jodhpur, NALSAR",Advanced,Auditory
1408,Mentor_408,Legal Reasoning,"NLU Jodhpur, GNLU",Intermediate,Auditory
1409,Mentor_409,"Logical Reasoning, English, Quantitative Techniques",NALSAR,Beginner,Visual
1410,Mentor_410,"Quantitative Techniques, Legal Reasoning, Logical Reasoning","NALSAR, NUJS",Intermediate,Auditory
1411,Mentor_411,Quantitative Techniques,NUJS,Intermediate,Auditory
1412,Mentor_412,"Current Affairs, Quantitative Techniques, Logical Reasoning",GNLU,Intermediate,Visual
1413,Mentor_413,English,"NLSIU, NLU Delhi",Beginner,Auditory
1414,Mentor_414,Quantitative Techniques,GNLU,Advanced,Kinesthetic
1415,Mentor_415,"Quantitative Techniques, English",NLU Jodhpur,Beginner,Kinesthetic
1416,Mentor_416,English,"NALSAR, GNLU",Advanced,Auditory
1417,Mentor_417,Logical Reasoning,"NALSAR, NUJS",Intermediate,Kinesthetic
1418,Mentor_418,"Legal Reasoning, Quantitative Techniques, Current Affairs",NLSIU,Advanced,Visual
1419,Mentor_419,Current Affairs,GNLU,Advanced,Kinesthetic
1420,Mentor_420,"Quantitative Techniques, Logical Reasoning, Current Affairs","NUJS, NLU Delhi",Intermediate,Visual
1421,Mentor_421,"English, Quantitative Techniques, Current Affairs","NUJS, GNLU",Intermediate,Visual
1422,Mentor_422,"English, Logical Reasoning","NLU Delhi, NALSAR",Advanced,Visual
1423,Mentor_423,"Quantitative Techniques, Legal Reasoning","NUJS, NALSAR",Beginner,Visual
1424,Mentor_424,Quantitative Techniques,NUJS,Intermediate,Kinesthetic
1425,Mentor_425,"English, Current Affairs, Logical Reasoning",GNLU,Advanced,Visual
1426,Mentor_426,"Current Affairs, Quantitative Techniques",GNLU,Beginner,Kinesthetic
1427,Mentor_427,Quantitative Techniques,"NALSAR, NLSIU",Beginner,Visual
1428,Mentor_428,"Logical Reasoning, Quantitative Techniques, Legal Reasoning",NLU Delhi,Advanced,Auditory
1429,Mentor_429,"English, Current Affairs, Quantitative Techniques",NLU Jodhpur,Beginner,Auditory
1430,Mentor_430,Quantitative Techniques,"NUJS, NLU Jodhpur",Intermediate,Kinesthetic
1431,Mentor_431,"Legal Reasoning, Logical Reasoning",NLU Delhi,Advanced,Kinesthetic
1432,Mentor_432,"Logical Reasoning, English",GNLU,Intermediate,Auditory
1433,Mentor_433,"Legal Reasoning, Quantitative Techniques, Current Affairs","NLSIU, NLU Jodhpur",Intermediate,Visual
1434,Mentor_434,"Quantitative Techniques, Logical Reasoning",NUJS,Beginner,Visual
1435,Mentor_435,"English, Legal Reasoning","NLU Delhi, NALSAR",Intermediate,Kinesthetic
1436,Mentor_436,Legal Reasoning,"NALSAR, NLSIU",Advanced,Kinesthetic
1437,Mentor_437,Quantitative Techniques,NUJS,Beginner,Visual
1438,Mentor_438,"Quantitative Techniques, Current Affairs","NLSIU, NALSAR",Advanced,Auditory
1439,Mentor_439,"Current Affairs, English, Logical Reasoning",NLU Jodhpur,Intermediate,Auditory
1440,Mentor_440,"English, Current Affairs","NLU Jodhpur, GNLU",Advanced,Kinesthetic
1441,Mentor_441,Quantitative Techniques,"NLSIU, NALSAR",Beginner,Visual
1442,Mentor_442,"English, Quantitative Techniques, Current Affairs",NLU Delhi,Advanced,Visual
1443,Mentor_443,"Current Affairs, Quantitative Techniques, English",NUJS,Intermediate,Auditory
1444,Mentor_444,Quantitative Techniques,"GNLU, NLU Jodhpur",Intermediate,Visual
1445,Mentor_445,"Current Affairs, Logical Reasoning, English","NLU Delhi, GNLU",Advanced,Kinesthetic
1446,Mentor_446,"Logical Reasoning, Legal Reasoning",NUJS,Advanced,Kinesthetic
1447,Mentor_447,"Current Affairs, Logical Reasoning, Quantitative Techniques","GNLU, NUJS",Intermediate,Kinesthetic
1448,Mentor_448,English,"NLSIU, NLU Delhi",Beginner,Auditory
1449,Mentor_449,Legal Reasoning,"NALSAR, NLSIU",Intermediate,Auditory
1450,Mentor_450,Current Affairs,"NUJS, NLSIU",Intermediate,Visual
1451,Mentor_451,"English, Quantitative Techniques, Current Affairs",NUJS,Beginner,Visual
1452,Mentor_452,Logical Reasoning,"NALSAR, NLSIU",Beginner,Visual
1453,Mentor_453,"Current Affairs, English",GNLU,Beginner,Kinesthetic
1454,Mentor_454,"English, Quantitative Techniques, Logical Reasoning","NUJS, NALSAR",Beginner,Kinesthetic
1455,Mentor_455,"Current Affairs, Legal Reasoning","GNLU, NLU Delhi",Beginner,Kinesthetic
1456,Mentor_456,Logical Reasoning,"NLU Delhi, GNLU",Intermediate,Auditory
1457,Mentor_457,English,GNLU,Beginner,Kinesthetic
1458,Mentor_458,"English, Quantitative Techniques","NALSAR, GNLU",Intermediate,Kinesthetic
1459,Mentor_459,"Legal Reasoning, Quantitative Techniques",GNLU,Intermediate,Auditory
1460,Mentor_460,Legal Reasoning,"NALSAR, NLU Delhi",Beginner,Auditory
1461,Mentor_461,"English, Legal Reasoning, Logical Reasoning",NALSAR,Advanced,Auditory
1462,Mentor_462,"Legal Reasoning, English","NALSAR, GNLU",Intermediate,Auditory
1463,Mentor_463,"Current Affairs, English, Logical Reasoning","NLU Delhi, NUJS",Beginner,Kinesthetic
1464,Mentor_464,"Current Affairs, Legal Reasoning","NLU Delhi, NLSIU",Beginner,Auditory
1465,Mentor_465,English,"NLU Jodhpur, GNLU",Intermediate,Kinesthetic
1466,Mentor_466,Current Affairs,"NLSIU, GNLU",Beginner,Kinesthetic
1467,Mentor_467,"Quantitative Techniques, Legal Reasoning, Current Affairs",NALSAR,Beginner,Kinesthetic
1468,Mentor_468,"Logical Reasoning, Legal Reasoning",NLU Jodhpur,Beginner,Auditory
1469,Mentor_469,"Legal Reasoning, Logical Reasoning","NUJS, NLU Delhi",Beginner,Auditory
1470,Mentor_470,"Quantitative Techniques, English","NLSIU, NLU Jodhpur",Advanced,Visual
1471,Mentor_471,Logical Reasoning,"NLU Jodhpur, GNLU",Advanced,Auditory
1472,Mentor_472,"Logical Reasoning, English","GNLU, NLSIU",Beginner,Kinesthetic
1473,Mentor_473,Current Affairs,"NLU Jodhpur, NLU Delhi",Advanced,Visual
1474,Mentor_474,"Quantitative Techniques, Current Affairs",NUJS,Advanced,Kinesthetic
1475,Mentor_475,Quantitative Techniques,NLSIU,Advanced,Visual
1476,Mentor_476,Current Affairs,NLSIU,Advanced,Auditory
1477,Mentor_477,English,NLSIU,Beginner,Kinesthetic
1478,Mentor_478,Logical Reasoning,NLU Delhi,Beginner,Kinesthetic
1479,Mentor_479,"Current Affairs, Legal Reasoning","NALSAR, NLU Delhi",Beginner,Kinesthetic
1480,Mentor_480,"Legal Reasoning, Quantitative Techniques, Current Affairs","NALSAR, GNLU",Advanced,Visual
1481,Mentor_481,"Logical Reasoning, Quantitative Techniques, Legal Reasoning","NLU Delhi, GNLU",Advanced,Visual
1482,Mentor_482,"Legal Reasoning, Current Affairs","NALSAR, NLU Jodhpur",Intermediate,Visual
1483,Mentor_483,"Logical Reasoning, English",NLSIU,Advanced,Visual
1484,Mentor_484,Quantitative Techniques,"GNLU, NLU Jodhpur",Intermediate,Kinesthetic
1485,Mentor_485,"Legal Reasoning, Current Affairs, Quantitative Techniques","NUJS, NLSIU",Beginner,Auditory
1486,Mentor_486,"Logical Reasoning, Legal Reasoning","NALSAR, NLSIU",Intermediate,Kinesthetic
1487,Mentor_487,"Current Affairs, Quantitative Techniques, English","NALSAR, NLU Jodhpur",Advanced,Visual
1488,Mentor_488,"Quantitative Techniques, Legal Reasoning","NLSIU, NLU Delhi",Intermediate,Visual
1489,Mentor_489,"English, Quantitative Techniques, Legal Reasoning",NLU Jodhpur,Beginner,Kinesthetic
1490,Mentor_490,"Quantitative Techniques, Logical Reasoning, Legal Reasoning","NLU Jodhpur, NALSAR",Intermediate,Kinesthetic
1491,Mentor_491,"Quantitative Techniques, Logical Reasoning, English",NLU Jodhpur,Intermediate,Auditory
1492,Mentor_492,"Legal Reasoning, English","NLU Delhi, NALSAR",Advanced,Visual
1493,Mentor_493,"Logical Reasoning, Current Affairs","NLU Delhi, NUJS",Intermediate,Auditory
1494,Mentor_494,Legal Reasoning,"NLU Delhi, NLU Jodhpur",Intermediate,Kinesthetic
1495,Mentor_495,"Current Affairs, Legal Reasoning, Quantitative Techniques","NLU Jodhpur, NLSIU",Advanced,Visual
1496,Mentor_496,English,"GNLU, NUJS",Beginner,Auditory
1497,Mentor_497,"Current Affairs, Logical Reasoning, Quantitative Techniques","GNLU, NUJS",Advanced,Auditory
1498,Mentor_498,English,NALSAR,Beginner,Visual
1499,Mentor_499,"Quantitative Techniques, Logical Reasoning","NALSAR, NLU Delhi",Advanced,Kinesthetic
1500,Mentor_500,Quantitative Techniques,"NLU Jodhpur, NALSAR",Advanced,Kinesthetic
