id,name,preferred_subjects,target_colleges,preparation_level,learning_style
301,Aspirant_301,"English, Legal Reasoning","NALSAR, NLU Delhi",Advanced,Auditory
302,Aspirant_302,"Logical Reasoning, Legal Reasoning, Quantitative Techniques","NLU Jodhpur, GNLU",Advanced,Visual
303,Aspirant_303,"Logical Reasoning, Current Affairs, Legal Reasoning",NLU Delhi,Advanced,Kinesthetic
304,Aspirant_304,"Legal Reasoning, Current Affairs","NLU Jodhpur, NLU Delhi",Advanced,Auditory
305,Aspirant_305,"Legal Reasoning, English","NLU Delhi, GNLU",Beginner,Kinesthetic
306,Aspirant_306,"English, Legal Reasoning, Logical Reasoning","NUJS, NLSIU",Advanced,Visual
307,Aspirant_307,English,NLU Delhi,Beginner,Kinesthetic
308,Aspirant_308,"English, Legal Reasoning","NLSIU, NALSAR",Advanced,Kinesthetic
309,Aspirant_309,"Logical Reasoning, Quantitative Techniques","NUJS, NLU Delhi",Intermediate,Visual
310,Aspirant_310,Legal Reasoning,"NALSAR, NLU Jodhpur",Beginner,Visual
311,Aspirant_311,"Logical Reasoning, Current Affairs, English",NLU Jodhpur,Beginner,Kinesthetic
312,Aspirant_312,"Quantitative Techniques, Current Affairs",NLU Delhi,Intermediate,Visual
313,Aspirant_313,"English, Quantitative Techniques",NUJS,Advanced,Visual
314,Aspirant_314,"English, Quantitative Techniques, Logical Reasoning","GNLU, NLU Jodhpur",Beginner,Kinesthetic
315,Aspirant_315,English,"NALSAR, NLU Delhi",Beginner,Auditory
316,Aspirant_316,"Quantitative Techniques, Current Affairs, English",GNLU,Advanced,Kinesthetic
317,Aspirant_317,Legal Reasoning,NLU Delhi,Beginner,Auditory
318,Aspirant_318,"Quantitative Techniques, Legal Reasoning",NLU Jodhpur,Intermediate,Auditory
319,Aspirant_319,Legal Reasoning,NLU Delhi,Advanced,Visual
320,Aspirant_320,"Current Affairs, English, Quantitative Techniques",GNLU,Intermediate,Kinesthetic
321,Aspirant_321,"Logical Reasoning, Current Affairs, Legal Reasoning","NLU Delhi, NLU Jodhpur",Beginner,Kinesthetic
322,Aspirant_322,"Legal Reasoning, English, Logical Reasoning","NALSAR, GNLU",Advanced,Visual
323,Aspirant_323,Quantitative Techniques,GNLU,Advanced,Kinesthetic
324,Aspirant_324,Quantitative Techniques,NALSAR,Advanced,Kinesthetic
325,Aspirant_325,"English, Quantitative Techniques, Current Affairs","NLU Jodhpur, NLU Delhi",Beginner,Auditory
326,Aspirant_326,"Legal Reasoning, English","NALSAR, NLSIU",Advanced,Kinesthetic
327,Aspirant_327,Quantitative Techniques,NLSIU,Advanced,Auditory
328,Aspirant_328,"Logical Reasoning, English","NUJS, NLSIU",Beginner,Auditory
329,Aspirant_329,"Logical Reasoning, Current Affairs, Legal Reasoning","NLU Jodhpur, NLU Delhi",Beginner,Visual
330,Aspirant_330,Legal Reasoning,"NUJS, NALSAR",Intermediate,Kinesthetic
331,Aspirant_331,Quantitative Techniques,"NLU Delhi, NALSAR",Advanced,Visual
332,Aspirant_332,"Current Affairs, Logical Reasoning, Legal Reasoning",NLU Delhi,Intermediate,Kinesthetic
333,Aspirant_333,"Current Affairs, English, Logical Reasoning","NLU Jodhpur, GNLU",Intermediate,Auditory
334,Aspirant_334,Logical Reasoning,"NLSIU, NLU Delhi",Advanced,Kinesthetic
335,Aspirant_335,"English, Logical Reasoning","GNLU, NLU Jodhpur",Beginner,Kinesthetic
336,Aspirant_336,"Quantitative Techniques, Current Affairs, Legal Reasoning","GNLU, NUJS",Beginner,Auditory
337,Aspirant_337,"Logical Reasoning, Current Affairs, English","NLSIU, NALSAR",Beginner,Visual
338,Aspirant_338,"Quantitative Techniques, Logical Reasoning, Current Affairs",NUJS,Advanced,Auditory
339,Aspirant_339,Legal Reasoning,NLU Delhi,Intermediate,Kinesthetic
340,Aspirant_340,Current Affairs,"NLU Delhi, NALSAR",Intermediate,Auditory
341,Aspirant_341,Quantitative Techniques,NLU Jodhpur,Intermediate,Kinesthetic
342,Aspirant_342,Quantitative Techniques,NALSAR,Advanced,Kinesthetic
343,Aspirant_343,"Legal Reasoning, Logical Reasoning, English","GNLU, NUJS",Intermediate,Auditory
344,Aspirant_344,Current Affairs,"NALSAR, NLSIU",Beginner,Visual
345,Aspirant_345,Quantitative Techniques,NALSAR,Intermediate,Auditory
346,Aspirant_346,"Logical Reasoning, Current Affairs","GNLU, NLU Jodhpur",Beginner,Auditory
347,Aspirant_347,Quantitative Techniques,"GNLU, NLSIU",Intermediate,Kinesthetic
348,Aspirant_348,English,GNLU,Beginner,Kinesthetic
349,Aspirant_349,"Current Affairs, Legal Reasoning, Logical Reasoning",NLU Jodhpur,Intermediate,Kinesthetic
350,Aspirant_350,"English, Logical Reasoning",GNLU,Intermediate,Visual
351,Aspirant_351,"Legal Reasoning, Quantitative Techniques, Current Affairs","NLU Jodhpur, NLU Delhi",Advanced,Auditory
352,Aspirant_352,"Quantitative Techniques, Logical Reasoning, Current Affairs","NLSIU, NUJS",Advanced,Kinesthetic
353,Aspirant_353,"Logical Reasoning, Current Affairs, Quantitative Techniques",NLU Delhi,Beginner,Visual
354,Aspirant_354,"English, Current Affairs","NLU Delhi, NLSIU",Intermediate,Kinesthetic
355,Aspirant_355,Logical Reasoning,GNLU,Advanced,Visual
356,Aspirant_356,Quantitative Techniques,NUJS,Advanced,Kinesthetic
357,Aspirant_357,"Legal Reasoning, Quantitative Techniques, Logical Reasoning","GNLU, NALSAR",Advanced,Visual
358,Aspirant_358,"Quantitative Techniques, Legal Reasoning",NUJS,Intermediate,Kinesthetic
359,Aspirant_359,Quantitative Techniques,"NLU Jodhpur, GNLU",Advanced,Visual
360,Aspirant_360,"Legal Reasoning, Current Affairs",NUJS,Beginner,Auditory
361,Aspirant_361,"English, Legal Reasoning, Logical Reasoning","NLSIU, NLU Delhi",Beginner,Visual
362,Aspirant_362,English,"NALSAR, NLU Jodhpur",Beginner,Visual
363,Aspirant_363,"Logical Reasoning, English, Quantitative Techniques","NLSIU, NLU Delhi",Intermediate,Kinesthetic
364,Aspirant_364,"English, Current Affairs","NALSAR, NLSIU",Advanced,Kinesthetic
365,Aspirant_365,Current Affairs,GNLU,Beginner,Visual
366,Aspirant_366,English,NLU Delhi,Beginner,Visual
367,Aspirant_367,Legal Reasoning,NLU Delhi,Advanced,Kinesthetic
368,Aspirant_368,"Current Affairs, Legal Reasoning","NALSAR, NLSIU",Intermediate,Visual
369,Aspirant_369,"Current Affairs, Quantitative Techniques","GNLU, NLSIU",Advanced,Auditory
370,Aspirant_370,"Quantitative Techniques, English, Legal Reasoning","NLSIU, NUJS",Beginner,Auditory
371,Aspirant_371,"Current Affairs, English, Logical Reasoning","GNLU, NLSIU",Advanced,Auditory
372,Aspirant_372,"Quantitative Techniques, Legal Reasoning, Current Affairs",NALSAR,Intermediate,Visual
373,Aspirant_373,Logical Reasoning,"NLU Jodhpur, NLU Delhi",Intermediate,Auditory
374,Aspirant_374,Current Affairs,NALSAR,Beginner,Kinesthetic
375,Aspirant_375,"English, Logical Reasoning","NALSAR, GNLU",Intermediate,Auditory
376,Aspirant_376,"Logical Reasoning, Legal Reasoning, English","NLU Delhi, NALSAR",Intermediate,Auditory
377,Aspirant_377,"Quantitative Techniques, Current Affairs, English","GNLU, NLU Delhi",Intermediate,Auditory
378,Aspirant_378,"English, Quantitative Techniques, Logical Reasoning",NALSAR,Beginner,Auditory
379,Aspirant_379,Logical Reasoning,"NALSAR, NLSIU",Advanced,Kinesthetic
380,Aspirant_380,"English, Legal Reasoning",NALSAR,Advanced,Visual
381,Aspirant_381,"Logical Reasoning, Legal Reasoning, Current Affairs","NLU Delhi, NLU Jodhpur",Advanced,Visual
382,Aspirant_382,"Logical Reasoning, Legal Reasoning",GNLU,Beginner,Auditory
383,Aspirant_383,"English, Legal Reasoning","NALSAR, NLU Delhi",Advanced,Auditory
384,Aspirant_384,"Logical Reasoning, Legal Reasoning, English","NLU Delhi, GNLU",Intermediate,Auditory
385,Aspirant_385,"Quantitative Techniques, Logical Reasoning, Legal Reasoning","NALSAR, NLSIU",Intermediate,Visual
386,Aspirant_386,Legal Reasoning,NLU Jodhpur,Advanced,Auditory
387,Aspirant_387,"Current Affairs, Legal Reasoning, Logical Reasoning","NLSIU, GNLU",Advanced,Visual
388,Aspirant_388,"Current Affairs, English","NALSAR, NLU Delhi",Beginner,Kinesthetic
389,Aspirant_389,"Current Affairs, Quantitative Techniques, Legal Reasoning","NALSAR, GNLU",Intermediate,Kinesthetic
390,Aspirant_390,Quantitative Techniques,"GNLU, NLU Delhi",Beginner,Visual
391,Aspirant_391,Current Affairs,"NALSAR, NLU Jodhpur",Intermediate,Auditory
392,Aspirant_392,"Legal Reasoning, Quantitative Techniques",GNLU,Beginner,Auditory
393,Aspirant_393,"Logical Reasoning, Quantitative Techniques","NUJS, NALSAR",Intermediate,Visual
394,Aspirant_394,English,"NLU Delhi, GNLU",Intermediate,Auditory
395,Aspirant_395,"Current Affairs, Legal Reasoning, English","NLSIU, GNLU",Advanced,Auditory
396,Aspirant_396,Legal Reasoning,"NLU Jodhpur, GNLU",Beginner,Visual
397,Aspirant_397,"English, Quantitative Techniques, Legal Reasoning",NLU Jodhpur,Advanced,Visual
398,Aspirant_398,Legal Reasoning,"NLU Delhi, NUJS",Advanced,Visual
399,Aspirant_399,"Legal Reasoning, Quantitative Techniques, Current Affairs",GNLU,Beginner,Auditory
400,Aspirant_400,"Logical Reasoning, Quantitative Techniques, English",NUJS,Advanced,Auditory
401,Aspirant_401,Quantitative Techniques,"NLU Jodhpur, NUJS",Intermediate,Kinesthetic
402,Aspirant_402,"Current Affairs, English, Logical Reasoning","NUJS, NLU Delhi",Beginner,Visual
403,Aspirant_403,"Quantitative Techniques, Legal Reasoning, Current Affairs","NALSAR, GNLU",Beginner,Kinesthetic
404,Aspirant_404,"English, Current Affairs, Logical Reasoning",NLU Jodhpur,Beginner,Kinesthetic
405,Aspirant_405,"Quantitative Techniques, English, Logical Reasoning","NLU Delhi, GNLU",Beginner,Visual
406,Aspirant_406,Legal Reasoning,NLU Delhi,Advanced,Auditory
407,Aspirant_407,"Logical Reasoning, Legal Reasoning","NALSAR, NLSIU",Intermediate,Auditory
408,Aspirant_408,Current Affairs,NUJS,Beginner,Auditory
409,Aspirant_409,"Quantitative Techniques, Legal Reasoning","GNLU, NLU Delhi",Beginner,Auditory
410,Aspirant_410,"Quantitative Techniques, English",NLU Delhi,Advanced,Auditory
411,Aspirant_411,"Quantitative Techniques, Legal Reasoning, Current Affairs","NUJS, NALSAR",Intermediate,Kinesthetic
412,Aspirant_412,"English, Logical Reasoning, Quantitative Techniques",GNLU,Beginner,Auditory
413,Aspirant_413,Current Affairs,GNLU,Intermediate,Auditory
414,Aspirant_414,"Quantitative Techniques, Legal Reasoning, Logical Reasoning","NUJS, NALSAR",Intermediate,Kinesthetic
415,Aspirant_415,"Logical Reasoning, Current Affairs","NUJS, NLU Jodhpur",Advanced,Kinesthetic
416,Aspirant_416,Legal Reasoning,NUJS,Advanced,Kinesthetic
417,Aspirant_417,Legal Reasoning,"GNLU, NUJS",Beginner,Visual
418,Aspirant_418,English,"GNLU, NALSAR",Advanced,Kinesthetic
419,Aspirant_419,"Legal Reasoning, Current Affairs","NUJS, NLSIU",Intermediate,Auditory
420,Aspirant_420,"English, Legal Reasoning",NLSIU,Intermediate,Auditory
421,Aspirant_421,"Logical Reasoning, English, Quantitative Techniques","NUJS, NALSAR",Intermediate,Visual
422,Aspirant_422,"Logical Reasoning, Quantitative Techniques, English",NALSAR,Beginner,Auditory
423,Aspirant_423,"Legal Reasoning, Current Affairs","NUJS, NLU Jodhpur",Beginner,Kinesthetic
424,Aspirant_424,Legal Reasoning,"NALSAR, NLU Jodhpur",Beginner,Visual
425,Aspirant_425,"Legal Reasoning, Current Affairs, Quantitative Techniques",NLU Jodhpur,Intermediate,Visual
426,Aspirant_426,"Legal Reasoning, English, Current Affairs",NALSAR,Intermediate,Visual
427,Aspirant_427,Legal Reasoning,"NLSIU, NLU Delhi",Intermediate,Auditory
428,Aspirant_428,"Current Affairs, Logical Reasoning","GNLU, NLSIU",Intermediate,Kinesthetic
429,Aspirant_429,Quantitative Techniques,NLU Delhi,Advanced,Kinesthetic
430,Aspirant_430,English,NALSAR,Advanced,Auditory
431,Aspirant_431,English,GNLU,Beginner,Visual
432,Aspirant_432,"Logical Reasoning, Quantitative Techniques",NALSAR,Advanced,Visual
433,Aspirant_433,"Legal Reasoning, English, Quantitative Techniques",NLU Delhi,Advanced,Visual
434,Aspirant_434,"English, Logical Reasoning",NLSIU,Advanced,Visual
435,Aspirant_435,"Quantitative Techniques, English, Legal Reasoning",NLU Jodhpur,Beginner,Kinesthetic
436,Aspirant_436,English,"NUJS, NALSAR",Advanced,Auditory
437,Aspirant_437,"Logical Reasoning, English, Legal Reasoning",NUJS,Advanced,Auditory
438,Aspirant_438,English,NALSAR,Beginner,Kinesthetic
439,Aspirant_439,"Logical Reasoning, Current Affairs","GNLU, NLSIU",Beginner,Kinesthetic
440,Aspirant_440,"Legal Reasoning, Current Affairs, Logical Reasoning","NLU Jodhpur, GNLU",Intermediate,Kinesthetic
441,Aspirant_441,"Logical Reasoning, Legal Reasoning",NLU Delhi,Intermediate,Kinesthetic
442,Aspirant_442,"English, Quantitative Techniques, Current Affairs","NALSAR, NLSIU",Beginner,Visual
443,Aspirant_443,"Quantitative Techniques, Legal Reasoning, Current Affairs",NLU Delhi,Advanced,Visual
444,Aspirant_444,"Quantitative Techniques, Legal Reasoning, English",NLU Jodhpur,Intermediate,Visual
445,Aspirant_445,"Quantitative Techniques, Current Affairs","NALSAR, NUJS",Advanced,Visual
446,Aspirant_446,Quantitative Techniques,"NUJS, NLU Delhi",Intermediate,Visual
447,Aspirant_447,"Quantitative Techniques, English, Current Affairs",NALSAR,Advanced,Kinesthetic
448,Aspirant_448,"Legal Reasoning, Logical Reasoning, Current Affairs","NLSIU, NLU Delhi",Advanced,Auditory
449,Aspirant_449,"Legal Reasoning, English","GNLU, NALSAR",Intermediate,Visual
450,Aspirant_450,"Quantitative Techniques, English, Logical Reasoning",NLU Delhi,Beginner,Kinesthetic
451,Aspirant_451,"English, Current Affairs",NLSIU,Intermediate,Auditory
452,Aspirant_452,"Current Affairs, Legal Reasoning",NLU Jodhpur,Beginner,Kinesthetic
453,Aspirant_453,"Current Affairs, Quantitative Techniques, Logical Reasoning","GNLU, NLSIU",Advanced,Auditory
454,Aspirant_454,"English, Current Affairs, Legal Reasoning",NLU Delhi,Advanced,Kinesthetic
455,Aspirant_455,Quantitative Techniques,NLU Delhi,Advanced,Kinesthetic
456,Aspirant_456,"Logical Reasoning, English",GNLU,Intermediate,Kinesthetic
457,Aspirant_457,Current Affairs,NALSAR,Advanced,Auditory
458,Aspirant_458,Quantitative Techniques,"NLSIU, NLU Delhi",Beginner,Kinesthetic
459,Aspirant_459,"Quantitative Techniques, Current Affairs","NLSIU, NLU Delhi",Intermediate,Auditory
460,Aspirant_460,"Current Affairs, Logical Reasoning","NLU Delhi, GNLU",Advanced,Kinesthetic
461,Aspirant_461,"Legal Reasoning, Quantitative Techniques, English",NLU Delhi,Intermediate,Kinesthetic
462,Aspirant_462,"Legal Reasoning, English, Logical Reasoning","NALSAR, NUJS",Beginner,Visual
463,Aspirant_463,Logical Reasoning,NLU Delhi,Beginner,Visual
464,Aspirant_464,"Current Affairs, Quantitative Techniques, Logical Reasoning",NALSAR,Beginner,Visual
465,Aspirant_465,"Current Affairs, Logical Reasoning","NUJS, NLU Jodhpur",Intermediate,Visual
466,Aspirant_466,"Logical Reasoning, Legal Reasoning, Current Affairs",NLU Jodhpur,Intermediate,Visual
467,Aspirant_467,"Logical Reasoning, Legal Reasoning, Quantitative Techniques",NLSIU,Intermediate,Auditory
468,Aspirant_468,"English, Logical Reasoning",NLU Jodhpur,Advanced,Kinesthetic
469,Aspirant_469,"Current Affairs, English, Quantitative Techniques",NLSIU,Beginner,Visual
470,Aspirant_470,English,"NLU Jodhpur, GNLU",Intermediate,Auditory
471,Aspirant_471,"Quantitative Techniques, Legal Reasoning, English",NLU Jodhpur,Beginner,Visual
472,Aspirant_472,Current Affairs,"NLU Jodhpur, NLSIU",Beginner,Visual
473,Aspirant_473,"Legal Reasoning, Quantitative Techniques, Current Affairs",NLU Delhi,Intermediate,Auditory
474,Aspirant_474,"Quantitative Techniques, English",NUJS,Advanced,Auditory
475,Aspirant_475,"Quantitative Techniques, Legal Reasoning","NLU Jodhpur, GNLU",Advanced,Auditory
476,Aspirant_476,Current Affairs,"NLSIU, NLU Jodhpur",Intermediate,Kinesthetic
477,Aspirant_477,"English, Legal Reasoning, Logical Reasoning",NLU Delhi,Beginner,Kinesthetic
478,Aspirant_478,"Logical Reasoning, Quantitative Techniques",NLSIU,Beginner,Kinesthetic
479,Aspirant_479,"Current Affairs, English",GNLU,Beginner,Auditory
480,Aspirant_480,Logical Reasoning,NLU Delhi,Beginner,Auditory
481,Aspirant_481,"Quantitative Techniques, Legal Reasoning",NLSIU,Intermediate,Auditory
482,Aspirant_482,Quantitative Techniques,NALSAR,Beginner,Auditory
483,Aspirant_483,Current Affairs,GNLU,Beginner,Kinesthetic
484,Aspirant_484,Current Affairs,"GNLU, NLU Delhi",Advanced,Visual
485,Aspirant_485,"Legal Reasoning, Logical Reasoning",NLU Jodhpur,Intermediate,Visual
486,Aspirant_486,"Quantitative Techniques, English, Current Affairs",NLU Delhi,Intermediate,Visual
487,Aspirant_487,"English, Legal Reasoning, Current Affairs","NLU Jodhpur, NLSIU",Beginner,Visual
488,Aspirant_488,"English, Legal Reasoning, Current Affairs",NALSAR,Advanced,Auditory
489,Aspirant_489,"Legal Reasoning, English, Logical Reasoning",NLSIU,Beginner,Kinesthetic
490,Aspirant_490,"Quantitative Techniques, Current Affairs","NLU Delhi, NUJS",Intermediate,Visual
491,Aspirant_491,"Logical Reasoning, Legal Reasoning, Quantitative Techniques",NLSIU,Beginner,Visual
492,Aspirant_492,"Logical Reasoning, Current Affairs","NLSIU, NLU Jodhpur",Intermediate,Visual
493,Aspirant_493,Current Affairs,"NLU Delhi, NUJS",Beginner,Kinesthetic
494,Aspirant_494,"Current Affairs, Quantitative Techniques",NLU Delhi,Advanced,Visual
495,Aspirant_495,"Logical Reasoning, Current Affairs","NLU Jodhpur, NALSAR",Intermediate,Auditory
496,Aspirant_496,"English, Logical Reasoning","NALSAR, NLSIU",Intermediate,Kinesthetic
497,Aspirant_497,"Logical Reasoning, Quantitative Techniques, Current Affairs",NLU Jodhpur,Advanced,Auditory
498,Aspirant_498,Logical Reasoning,NLU Delhi,Intermediate,Auditory
499,Aspirant_499,"Current Affairs, Quantitative Techniques, Legal Reasoning",NLSIU,Advanced,Kinesthetic
500,Aspirant_500,Current Affairs,"NLSIU, NUJS",Intermediate,Visual
